,BLO_S1_Rep1,BLO_S1_Rep2,BLO_S1_Rep3,BLO_S2_Rep1,BLO_S2_Rep2,BLO_S2_Rep3,BLO_S3_Rep1,BLO_S3_Rep2,BLO_S3_Rep3,BLO_S4_Rep1,BLO_S4_Rep2,BLO_S4_Rep3,KID_S1_Rep1,KID_S1_Rep2,KID_S1_Rep3,KID_S2_Rep1,KID_S2_Rep2,KID_S2_Rep3,KID_S3_Rep1,KID_S3_Rep2,KID_S3_Rep3,KID_S4_Rep1,KID_S4_Rep2,KID_S4_Rep3
HF11086,12160.794,328.68,13435.051,4.508,5.762,9.411,0.306,0.333,0.129,0.087,0.143,0.139,15.156,6298.916,44.916,3.533,4.466,2.473,0.187,0.149,0.044,0.163,0.068,0.14
HF11087,12761.216,365.874,13982.61,3.538,6.879,9.351,0.422,0.446,0.445,0.301,0.493,0.239,16.571,5914.383,42.615,3.06,4.77,3.003,0.143,0.284,0,0.125,0.233,0.08
HF34647,0.161,0.064,0.202,0.405,0.804,0.374,99.986,156.336,35.509,2756.515,2391.554,2734.086,0.076,0.155,0,0.123,0.658,1.119,140.63,179.555,96.031,1829.234,2450.755,1739.701
HF32109,0.516,1.139,0.324,11.074,4.197,10.215,3.196,5.337,6.753,42.734,22.021,24.054,1.095,0.248,1.232,16.827,30.232,16.573,341.447,239.855,237.425,1292.181,1451.016,1251.387
HF07672,0,0,0,2.795,0.693,0.645,66.645,72.42,44.486,2051.288,1833.441,2194.45,0,0,0,0.566,3.024,1.428,131.472,107.293,104.143,1877.412,2215.081,1822.536
HF11211,0.264,0.423,0.074,0.089,0.66,0.205,21.202,19.742,9.082,589.899,491.665,526.815,0.083,1.1,0.168,0.27,1.441,0,29.155,42.667,55.02,568.806,512.699,484.606
HF13068,1.539,2.334,3.147,1.899,0.963,2.687,51.598,53.852,26.375,270.74,285.162,331.775,1.451,0.987,2.122,3.148,9.105,2.778,113.061,78.649,105.805,452.575,372.432,579.315
HF17680,3.804,2.273,7.253,0.357,1.107,0.721,810.797,860.148,469.758,5174.55,4691.984,5708.845,2.336,4.513,0.422,1.086,3.914,1.917,1019.868,1298.507,768.48,2890.294,3445.385,3704.777
HF26429,2.226,1.787,0.596,73.992,76.75,83.968,372.123,326.748,239.875,1463.772,1388.287,1384.59,2.015,3.171,2.635,113.114,141.517,133.658,418.703,320.525,371.208,1089.205,1174.082,1220.691
HF26432,0.641,0.429,0.357,26.092,24.847,25.982,111.914,90.484,72.505,451.219,422.403,541.739,0.302,1.131,0.714,32.274,46.715,44.451,115.864,109.615,102.577,324.024,333.021,401.357
HF38956,607.807,728.286,394.693,16.646,12.768,242.209,5.373,20.876,91.367,3.652,3.589,3.775,1029.713,354.96,749.357,8.13,48.881,5.771,4.165,21.121,18.671,1.814,4.802,3.804
HF15829,0.39,0.861,1.549,1.771,2.316,2.156,68.341,60.463,41.472,280.683,277.825,278.983,0.459,0.657,0.837,2.841,3.193,2.564,77.169,84.509,44.351,247.411,263.239,262.246
HF34501,422.356,232.764,41.535,2.049,2.2,37.487,1.058,3.358,23.105,3.021,0.412,2.202,74.374,32.685,798.652,2.076,3.547,0.419,4.307,7.565,1.009,1.406,3.115,2.824
HF02614,786.054,815.695,646.616,51.315,41.019,103.067,33.125,51.829,98.785,11.439,8.743,6.064,756.695,564.115,1281.528,44.646,56.409,27.907,34.794,51.023,34.402,11.362,11.207,7.944
HF02991,1.215,0.557,2.119,0.561,0.999,0.727,31.263,39.87,12.142,125.672,125.553,166.839,0.589,0.969,0.961,0.692,1.024,0.537,64.868,52.472,37.84,132.86,137.613,146.547
HF40830,0,0,0.049,0,0,0,0.076,0.069,0,35.876,52.084,48.064,0,0,0.056,0,0,0,0.233,0,0,102.247,70.634,93.123
HF07433,0.331,0.399,0.323,20.562,16.57,13.107,9.784,10.11,8.133,52.782,53.232,61.158,0.364,1.062,0.79,24.47,22.064,23.657,10.542,11.761,17.809,80.131,71.086,72.491
HF07008,155.043,106.832,91.176,35.671,32.738,30.314,2.047,3.557,3.244,1.217,0.798,0,162.612,184.879,195.131,39.347,29.586,39.686,3.992,3.037,2.563,1.058,1.13,0.78
HF31923,291.783,359.639,114.859,9.849,35.099,29.094,6.297,7.466,2.943,0.691,2.265,0.412,186.935,227.745,218.636,7.412,8.676,11.645,4.806,1.078,0.347,3.756,0.936,2.216
HF04467,0.384,0.309,0.965,1.553,1.683,3.133,5.763,5.679,3.971,216.013,261.252,255.086,0.181,0.185,0.551,2.654,2.519,1.19,9.688,10.95,8.784,270.197,216.594,204.611
